EXPOCODE,cruise,date,StationID,BottleID,LATITUDE,LONGITUDE,depth,Temperature,Salinity,NO3_plus_NO2,SRP,DOP,DOP_flag,region,method,reference
,BIOSOPE,2004-10-28,21,21,-8.32545,-141.27521,5.6,27.793,35.56,1.54,0.39,0.21,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-28,21,18,-8.32545,-141.27521,15.1,27.773,35.559,1.54,0.42,0.18,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-28,21,16,-8.32545,-141.27521,20.8,27.764,35.559,1.54,0.42,0.19,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-28,21,14,-8.32545,-141.27521,30.6,27.755,35.558,1.59,0.41,0.21,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-28,21,12,-8.32545,-141.27521,40.2,27.745,35.558,1.59,0.41,0.21,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-28,21,10,-8.32545,-141.27521,49.7,27.742,35.558,1.64,0.41,0.22,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-31,36,22,-8.99582,-136.84779,5.3,27.76,35.615,1.49,0.29,0.29,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-31,36,18,-8.99582,-136.84779,20.4,27.715,35.614,1.59,0.3,0.27,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-31,36,16,-8.99582,-136.84779,29.7,27.709,35.616,1.54,0.29,0.29,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-31,36,14,-8.99582,-136.84779,40.2,27.671,35.621,1.59,0.31,0.27,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
,BIOSOPE,2004-10-31,36,10,-8.99582,-136.84779,60.5,27.577,35.627,1.64,0.32,0.28,2,South Pacific,Wet oxidation,Raimbault; P.; Garcia; N.; and Cerutti; F.: Distribution of inorganic and organic nutrients in the South Pacific Ocean   evidence for long-term accumulation of organic matter in nitrogen-depleted waters; Biogeosciences; 5; 281 298; https://doi.org/10.5194/bg-5-281-2008; 2008
